date,status,appeal,address,ward
06/11/19,APPROVED,BOA-922047,613-619 East Broadway,Ward 6
06/11/19,APPROVED,BOA-919609,25-37 Frankfort Street,Ward 1
06/11/19,APPROVED,BOA-922385,481-487 Geneva Avenue,Ward 17
06/11/19,APPROVED,BOA-921538,92 George Street,Ward 8
06/11/19,APPROVED,BOA-919610,120 Gove Street,Ward 1
06/11/19,APPROVED,BOA-931983,118-120 Granite Avenue,Ward 16
06/11/19,APPROVED,BOA-893086,71R Grampian Way,Ward 13
06/11/19,APPROVED,BOA-938002,208 Harold Street,Ward 12
06/11/19,APPROVED,BOA-929131,4 Hartford Street,Ward 13
06/11/19,APPROVED,BOA-931967,101 Howard Avenue,Ward 13
06/11/19,APPROVED,BOA-903736,416 Huntington Avenue,Ward 18
06/11/19,APPROVED,BOA-925440,301 Huntington Avenue,Ward 18
06/11/19,APPROVED,BOA-883471,81 High Street,Ward 2
06/11/19,APPROVED,BOA-909985,140 Harrishof Street,Ward 12
06/11/19,APPROVED,BOA-917818,19 Inwood Street,Ward 15
06/11/19,APPROVED,BOA-903635,235 Leyden Street,Ward 1
06/11/19,APPROVED,BOA-930621,1 Ludlow Street,Ward 2
06/11/19,APPROVED,BOA-903636,237 Leyden Street,Ward 1
06/11/19,APPROVED,BOA-917862,249 Lexington Street,Ward 1
06/11/19,APPROVED,BOA-825529,173 Magnolia Street,Ward 13
06/11/19,APPROVED,BOA-903541,307 Maverick Street,Ward 1
06/11/19,APPROVED,BOA-928835,29-31 Mather Street,Ward 17
06/11/19,APPROVED,BOA-896383,24 Norwood Street,Ward 16
06/11/19,APPROVED,BOA-896463,30 Preble Street,Ward 7
06/11/19,APPROVED,BOA-897717,84-100 Peterborough Street,Ward 5
06/11/19,APPROVED,BOA-902477,6 Paisley Park,Ward 16
06/11/19,APPROVED,BOA-907387,27 Peaceable Street,Ward 22
06/11/19,APPROVED,BOA-909779,68-70 Phillips Street,Ward 5
06/11/19,APPROVED,BOA-889398,18A Rockville Park,Ward 12
06/11/19,APPROVED,BOA-893750,10 Ruthven Park,Ward 12
06/11/19,APPROVED,BOA-922807,440-458 Rutherford Avenue,Ward 2
06/11/19,APPROVED,BOA-927192,1 Rockwood Terrace,Ward 19
06/11/19,APPROVED,BOA-912336,101-103 Rosseter Street,Ward 14
06/11/19,APPROVED,BOA-922614,16R Robenson,Ward 11
06/11/19,APPROVED,BOA-890331,50 Stedman Street,Ward 11
06/11/19,APPROVED,BOA-936053,331 Sumner Street,Ward 1
06/11/19,APPROVED,BOA-878715,631 Saratoga Street,Ward 1
06/11/19,APPROVED,BOA-923898,26 Saranac Street,Ward 18
06/11/19,APPROVED,BOA-881411,48-54 Saint Margaret Street,Ward 7
06/11/19,APPROVED,BOA-872900,794R Shawmut Avenue,Ward 9
06/11/19,APPROVED,BOA-868750,89 Sydney Street,Ward 13
06/11/19,APPROVED,BOA-913601,74 Tremont Street,Ward 2
06/11/19,APPROVED,BOA-913606,76-78 Tremont Street,Ward 2
06/11/19,APPROVED,BOA-910090,91 Trenton Street,Ward 1
06/11/19,APPROVED,BOA-882119,18 Thane Street,Ward 17
06/11/19,APPROVED,BOA-834419,243 West Selden Street,Ward 18
06/11/19,APPROVED,BOA-922587,12 Waldeck Street,Ward 17
06/11/19,APPROVED,BOA-919184,13 Woodglen Road,Ward 18
06/11/19,APPROVED,BOA-909724,105 West Springfield Street,Ward 9
06/11/19,APPROVED,BOA-938099,105 West First Street,Ward 6
06/11/19,APPROVED,BOA-919027,162 West Brookline Street,Ward 4
06/11/19,APPROVED,BOA-916653,2837-2839 Washington Street,Ward 11
06/11/19,APPROVED,BOA-933655,288 Washington Street,Ward 22
06/11/19,APPROVED,BOA-928027,258 West Newton Street,Ward 4
06/11/19,APPROVED,BOA-927270,17 West Bellflower Street,Ward 7
06/11/19,APPROVED,BOA-921174,71-75 West Broadway,Ward 6
06/11/19,DENIED,BOA-861784,1345-1357 Blue Hill Avenue,Ward 14
06/11/19,DENIED,BOA-871937,1A Barnard Place,Ward 6
06/11/19,DENIED,BOA-890958,7-15 Catherine Street,Ward 19
06/11/19,DENIED,BOA-844566,35 Dade Street,Ward 9
06/11/19,DENIED,BOA-853295,31 Dell Avenue,Ward 18
06/11/19,DENIED,BOA-896850,55 Easton Street,Ward 22
